Player,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%
Deonte Harty,21,15,150,10,1,9.4,71.40%
Stefon Diggs,160,107,1183,11.1,8,69.6,66.90%
Gabriel Davis,81,45,746,16.6,7,43.9,55.60%
Khalil Shakir,45,39,611,15.7,2,35.9,86.70%
